"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/workspaces/vnet/Cargo.lock", "TOML", 0, 325, 2, 46, 373
"/workspaces/vnet/Cargo.toml", "TOML", 0, 8, 0, 1, 9
"/workspaces/vnet/src/core.rs", "Rust", 149, 0, 6, 26, 181
"/workspaces/vnet/src/device.rs", "Rust", 23, 0, 0, 7, 30
"/workspaces/vnet/src/format.rs", "Rust", 38, 0, 0, 8, 46
"/workspaces/vnet/src/l2.rs", "Rust", 83, 0, 6, 21, 110
"/workspaces/vnet/src/l3.rs", "Rust", 26, 0, 0, 10, 36
"/workspaces/vnet/src/lib.rs", "Rust", 10, 0, 0, 5, 15
"/workspaces/vnet/src/main.rs", "Rust", 5, 0, 0, 3, 8
"/workspaces/vnet/tests/core_tests.rs", "Rust", 32, 0, 0, 14, 46
"/workspaces/vnet/tests/l2_tests.rs", "Rust", 52, 0, 0, 20, 72
"/workspaces/vnet/tests/mod.rs", "Rust", 1, 0, 0, 1, 2
"Total", "-", 419, 333, 14, 162, 928
