"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/workspaces/vnet/Cargo.lock", "TOML", 0, 186, 0, 20, 206
"/workspaces/vnet/Cargo.toml", "TOML", 0, 1, 0, 0, 1
"/workspaces/vnet/src/arp.rs", "Rust", -16, 0, 0, -4, -20
"/workspaces/vnet/src/core.rs", "Rust", -37, 0, -1, -12, -50
"/workspaces/vnet/src/endpoint.rs", "Rust", 4, 0, 0, -6, -2
"/workspaces/vnet/src/format.rs", "Rust", -5, 0, 0, 0, -5
"/workspaces/vnet/src/l2.rs", "Rust", -110, 0, -13, -31, -154
"/workspaces/vnet/src/l3.rs", "Rust", -129, 0, 12, -38, -155
"/workspaces/vnet/src/lib.rs", "Rust", -2, 0, 0, -1, -3
"/workspaces/vnet/src/main.rs", "Rust", -30, 0, 26, 1, -3
"/workspaces/vnet/tests/core_tests.rs", "Rust", -22, 0, 21, 0, -1
"/workspaces/vnet/tests/l2_tests.rs", "Rust", -28, 0, 27, 0, -1
"/workspaces/vnet/tests/l3_tests.rs", "Rust", -29, 0, 25, 0, -4
"Total", "-", -404, 187, 97, -71, -191
