"filename", "language", "Rust", "comment", "blank", "total"
"/workspaces/vnet/src/format.rs", "Rust", 35, 0, 4, 39
"/workspaces/vnet/src/l3.rs", "Rust", 75, 1, 7, 83
"Total", "-", 110, 1, 11, 122
